date,コロナ 死亡,コロナ 重症,医療崩壊,緊急事態宣言,外出自粛
2019-12-29,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-19,5,1,0,0,0
2020-01-26,30,6,0,1,0
2020-02-02,24,6,0,0,0
2020-02-09,39,12,2,0,0
2020-02-16,32,22,2,0,1
2020-02-23,39,43,13,1,3
2020-03-01,25,24,16,2,5
2020-03-08,35,20,55,3,4
2020-03-15,47,15,47,1,3
2020-03-22,47,28,46,2,100
2020-03-29,100,70,90,17,84
2020-04-05,76,65,88,100,57
2020-04-12,84,48,100,30,44
2020-04-19,94,40,72,11,31
2020-04-26,63,25,43,13,27
2020-05-03,52,20,31,13,21
2020-05-10,40,16,22,18,15
2020-05-17,24,10,15,13,10
2020-05-24,23,9,28,12,11
2020-05-31,15,8,14,3,7
2020-06-07,11,6,8,1,5
2020-06-14,11,8,8,1,4
2020-06-21,11,8,7,1,3
2020-06-28,14,16,10,2,3
2020-07-05,16,26,8,2,3
2020-07-12,28,38,11,2,4
2020-07-19,25,47,13,2,8
2020-07-26,25,62,14,4,4
2020-08-02,25,64,11,5,4
2020-08-09,21,44,8,1,2
2020-08-16,20,50,6,1,2
2020-08-23,14,25,4,1,1
2020-08-30,12,13,3,1,1
2020-09-06,10,12,2,0,1
2020-09-13,10,10,2,0,1
2020-09-20,8,9,2,0,1
2020-09-27,12,10,2,0,1
2020-10-04,8,10,2,0,1
2020-10-11,8,9,2,0,1
2020-10-18,8,9,3,0,1
2020-10-25,9,11,3,0,1
2020-11-01,7,11,3,0,1
2020-11-08,11,23,7,1,1
2020-11-15,16,36,10,1,4
2020-11-22,18,55,24,2,7
2020-11-29,25,66,32,1,19
2020-12-06,20,59,37,1,7
2020-12-13,19,45,30,1,7
2020-12-20,19,29,36,1,6
2020-12-27,23,31,23,10,3
2021-01-03,29,49,50,54,9
2021-01-10,28,42,42,30,6
2021-01-17,26,37,31,10,3
2021-01-24,23,24,15,9,2
2021-01-31,16,21,7,15,3
2021-02-07,12,18,6,7,2
2021-02-14,11,15,4,6,1
2021-02-21,10,11,2,9,1
2021-02-28,14,10,2,12,1
2021-03-07,9,11,3,5,1
2021-03-14,8,8,2,7,1
2021-03-21,8,9,3,4,2
2021-03-28,9,12,3,2,1
2021-04-04,13,18,7,2,3
2021-04-11,20,28,13,3,3
2021-04-18,23,36,23,49,3
2021-04-25,30,35,22,20,3
2021-05-02,27,38,26,20,2
2021-05-09,49,39,27,20,3
2021-05-16,33,47,11,14,1
2021-05-23,30,28,10,19,1
2021-05-30,29,19,6,8,1
2021-06-06,38,21,5,6,1
2021-06-13,34,20,3,11,1
2021-06-20,34,19,3,5,1
2021-06-27,29,24,2,2,0
2021-07-04,37,30,6,13,1
2021-07-11,29,47,5,7,1
2021-07-18,24,44,6,4,1
2021-07-25,30,67,14,17,1
2021-08-01,39,81,23,13,2
2021-08-08,40,87,25,9,2
2021-08-15,69,100,38,23,2
2021-08-22,55,96,31,20,1
2021-08-29,61,71,14,12,1
2021-09-05,37,52,8,22,1
2021-09-12,26,31,5,6,1
2021-09-19,22,23,4,7,1
2021-09-26,20,18,4,11,1
2021-10-03,17,15,3,2,1
2021-10-10,12,14,3,1,1
2021-10-17,10,10,3,1,1
2021-10-24,10,10,2,1,1
2021-10-31,7,9,2,1,1
2021-11-07,7,8,3,1,1
2021-11-14,7,8,2,1,0
2021-11-21,6,7,3,0,0
2021-11-28,5,9,3,0,1
2021-12-05,5,8,4,0,0
2021-12-12,6,8,4,0,0
