date,マスク,マスク 着用,手洗い,消毒,換気,neighbor_index_avg,neighbor_index_weighted,year,week
2019-12-29,2,0,15,4,31,10.4,6.894736842105263,2019,52
2020-01-05,2,1,16,6,46,14.2,9.210526315789474,2020,1
2020-01-12,3,1,17,6,45,14.4,9.578947368421053,2020,2
2020-01-19,5,6,17,9,49,17.2,12.421052631578947,2020,3
2020-01-26,22,24,29,34,48,31.4,28.263157894736842,2020,4
2020-02-02,25,13,27,37,47,29.8,26.36842105263158,2020,5
2020-02-09,15,7,26,29,45,24.4,20.0,2020,6
2020-02-16,21,18,33,59,58,37.8,32.0,2020,7
2020-02-23,41,28,40,95,56,52.0,47.526315789473685,2020,8
2020-03-01,40,18,35,65,74,46.4,40.94736842105263,2020,9
2020-03-08,39,11,32,55,67,40.8,36.0,2020,10
2020-03-15,35,9,36,42,57,35.8,31.736842105263158,2020,11
2020-03-22,42,11,33,43,62,38.2,34.68421052631579,2020,12
2020-03-29,68,19,55,73,76,58.2,54.68421052631579,2020,13
2020-04-05,81,24,100,99,79,76.6,71.63157894736842,2020,14
2020-04-12,71,22,77,100,76,69.2,64.15789473684211,2020,15
2020-04-19,100,18,60,91,70,67.8,67.52631578947368,2020,16
2020-04-26,75,16,51,59,61,52.4,51.68421052631579,2020,17
2020-05-03,42,12,44,44,59,40.2,36.526315789473685,2020,18
2020-05-10,37,19,40,42,72,42.0,37.21052631578947,2020,19
2020-05-17,34,22,39,50,71,43.2,38.05263157894737,2020,20
2020-05-24,41,28,39,45,71,44.8,41.05263157894737,2020,21
2020-05-31,36,25,35,44,81,44.2,38.94736842105263,2020,22
2020-06-07,33,20,31,32,91,41.4,35.21052631578947,2020,23
2020-06-14,52,18,29,27,81,41.4,38.526315789473685,2020,24
2020-06-21,32,14,27,26,73,34.4,29.842105263157894,2020,25
2020-06-28,30,15,26,25,71,33.4,28.94736842105263,2020,26
2020-07-05,25,13,25,24,75,32.4,26.94736842105263,2020,27
2020-07-12,27,17,26,25,72,33.4,28.63157894736842,2020,28
2020-07-19,23,17,25,23,69,31.4,26.57894736842105,2020,29
2020-07-26,24,19,27,26,81,35.4,29.473684210526315,2020,30
2020-08-02,22,20,27,26,84,35.8,29.42105263157895,2020,31
2020-08-09,18,15,27,19,71,30.0,24.36842105263158,2020,32
2020-08-16,18,14,26,20,80,31.6,25.05263157894737,2020,33
2020-08-23,18,13,26,19,74,30.0,24.0,2020,34
2020-08-30,14,12,22,17,70,27.0,21.105263157894736,2020,35
2020-09-06,14,40,22,15,65,31.2,27.63157894736842,2020,36
2020-09-13,13,29,22,13,56,26.6,23.157894736842106,2020,37
2020-09-20,11,11,22,12,53,21.8,17.31578947368421,2020,38
2020-09-27,11,12,22,13,55,22.6,17.94736842105263,2020,39
2020-10-04,11,11,21,12,53,21.6,17.157894736842106,2020,40
2020-10-11,11,11,21,11,58,22.4,17.526315789473685,2020,41
2020-10-18,11,9,22,12,60,22.8,17.526315789473685,2020,42
2020-10-25,10,9,21,11,59,22.0,16.789473684210527,2020,43
2020-11-01,11,9,20,11,64,23.0,17.473684210526315,2020,44
2020-11-08,11,11,23,13,100,31.6,22.57894736842105,2020,45
2020-11-15,11,16,24,16,81,29.6,22.526315789473685,2020,46
2020-11-22,12,13,23,16,84,29.6,22.210526315789473,2020,47
2020-11-29,11,23,23,14,89,32.0,24.736842105263158,2020,48
2020-12-06,10,13,23,15,83,28.8,21.31578947368421,2020,49
2020-12-13,11,12,23,14,90,30.0,21.94736842105263,2020,50
2020-12-20,10,11,23,14,76,26.8,19.894736842105264,2020,51
2020-12-27,7,6,21,9,60,20.6,14.842105263157896,2020,52
2021-01-03,9,12,23,14,79,27.4,20.157894736842106,2020,53
2021-01-10,12,13,26,19,87,31.4,23.473684210526315,2021,1
2021-01-17,16,23,26,19,80,32.8,26.63157894736842,2021,2
2021-01-24,12,12,22,18,77,28.2,21.36842105263158,2021,3
2021-01-31,11,11,23,14,69,25.6,19.473684210526315,2021,4
2021-02-07,10,9,21,12,60,22.4,17.05263157894737,2021,5
2021-02-14,9,7,21,11,59,21.4,15.947368421052632,2021,6
2021-02-21,9,7,22,10,59,21.4,15.947368421052632,2021,7
2021-02-28,7,6,17,10,57,19.4,14.052631578947368,2021,8
2021-03-07,8,7,17,10,51,18.6,14.0,2021,9
2021-03-14,7,6,18,10,51,18.4,13.578947368421053,2021,10
2021-03-21,6,6,18,10,50,18.0,13.157894736842104,2021,11
2021-03-28,7,8,20,10,56,20.2,14.947368421052632,2021,12
2021-04-04,7,10,22,11,54,20.8,15.736842105263158,2021,13
2021-04-11,8,11,21,12,59,22.2,16.842105263157894,2021,14
2021-04-18,8,13,24,12,60,23.4,17.94736842105263,2021,15
