Date,(ALL) Requiring inpatient care,(ALL) Discharged from hospital or released from treatment,(ALL) To be confirmed,(Hokkaido) Requiring inpatient care,(Hokkaido) Discharged from hospital or released from treatment,(Hokkaido) To be confirmed,(Aomori) Requiring inpatient care,(Aomori) Discharged from hospital or released from treatment,(Aomori) To be confirmed,(Iwate) Requiring inpatient care,(Iwate) Discharged from hospital or released from treatment,(Iwate) To be confirmed,(Miyagi) Requiring inpatient care,(Miyagi) Discharged from hospital or released from treatment,(Miyagi) To be confirmed,(Akita) Requiring inpatient care,(Akita) Discharged from hospital or released from treatment,(Akita) To be confirmed,(Yamagata) Requiring inpatient care,(Yamagata) Discharged from hospital or released from treatment,(Yamagata) To be confirmed,(Fukushima) Requiring inpatient care,(Fukushima) Discharged from hospital or released from treatment,(Fukushima) To be confirmed,(Ibaraki) Requiring inpatient care,(Ibaraki) Discharged from hospital or released from treatment,(Ibaraki) To be confirmed,(Tochigi) Requiring inpatient care,(Tochigi) Discharged from hospital or released from treatment,(Tochigi) To be confirmed,(Gunma) Requiring inpatient care,(Gunma) Discharged from hospital or released from treatment,(Gunma) To be confirmed,(Saitama) Requiring inpatient care,(Saitama) Discharged from hospital or released from treatment,(Saitama) To be confirmed,(Chiba) Requiring inpatient care,(Chiba) Discharged from hospital or released from treatment,(Chiba) To be confirmed,(Tokyo) Requiring inpatient care,(Tokyo) Discharged from hospital or released from treatment,(Tokyo) To be confirmed,(Kanagawa) Requiring inpatient care,(Kanagawa) Discharged from hospital or released from treatment,(Kanagawa) To be confirmed,(Niigata) Requiring inpatient care,(Niigata) Discharged from hospital or released from treatment,(Niigata) To be confirmed,(Toyama) Requiring inpatient care,(Toyama) Discharged from hospital or released from treatment,(Toyama) To be confirmed,(Ishikawa) Requiring inpatient care,(Ishikawa) Discharged from hospital or released from treatment,(Ishikawa) To be confirmed,(Fukui) Requiring inpatient care,(Fukui) Discharged from hospital or released from treatment,(Fukui) To be confirmed,(Yamanashi) Requiring inpatient care,(Yamanashi) Discharged from hospital or released from treatment,(Yamanashi) To be confirmed,(Nagano) Requiring inpatient care,(Nagano) Discharged from hospital or released from treatment,(Nagano) To be confirmed,(Gifu) Requiring inpatient care,(Gifu) Discharged from hospital or released from treatment,(Gifu) To be confirmed,(Shizuoka) Requiring inpatient care,(Shizuoka) Discharged from hospital or released from treatment,(Shizuoka) To be confirmed,(Aichi) Requiring inpatient care,(Aichi) Discharged from hospital or released from treatment,(Aichi) To be confirmed,(Mie) Requiring inpatient care,(Mie) Discharged from hospital or released from treatment,(Mie) To be confirmed,(Shiga) Requiring inpatient care,(Shiga) Discharged from hospital or released from treatment,(Shiga) To be confirmed,(Kyoto) Requiring inpatient care,(Kyoto) Discharged from hospital or released from treatment,(Kyoto) To be confirmed,(Osaka) Requiring inpatient care,(Osaka) Discharged from hospital or released from treatment,(Osaka) To be confirmed,(Hyogo) Requiring inpatient care,(Hyogo) Discharged from hospital or released from treatment,(Hyogo) To be confirmed,(Nara) Requiring inpatient care,(Nara) Discharged from hospital or released from treatment,(Nara) To be confirmed,(Wakayama) Requiring inpatient care,(Wakayama) Discharged from hospital or released from treatment,(Wakayama) To be confirmed,(Tottori) Requiring inpatient care,(Tottori) Discharged from hospital or released from treatment,(Tottori) To be confirmed,(Shimane) Requiring inpatient care,(Shimane) Discharged from hospital or released from treatment,(Shimane) To be confirmed,(Okayama) Requiring inpatient care,(Okayama) Discharged from hospital or released from treatment,(Okayama) To be confirmed,(Hiroshima) Requiring inpatient care,(Hiroshima) Discharged from hospital or released from treatment,(Hiroshima) To be confirmed,(Yamaguchi) Requiring inpatient care,(Yamaguchi) Discharged from hospital or released from treatment,(Yamaguchi) To be confirmed,(Tokushima) Requiring inpatient care,(Tokushima) Discharged from hospital or released from treatment,(Tokushima) To be confirmed,(Kagawa) Requiring inpatient care,(Kagawa) Discharged from hospital or released from treatment,(Kagawa) To be confirmed,(Ehime) Requiring inpatient care,(Ehime) Discharged from hospital or released from treatment,(Ehime) To be confirmed,(Kochi) Requiring inpatient care,(Kochi) Discharged from hospital or released from treatment,(Kochi) To be confirmed,(Fukuoka) Requiring inpatient care,(Fukuoka) Discharged from hospital or released from treatment,(Fukuoka) To be confirmed,(Saga) Requiring inpatient care,(Saga) Discharged from hospital or released from treatment,(Saga) To be confirmed,(Nagasaki) Requiring inpatient care,(Nagasaki) Discharged from hospital or released from treatment,(Nagasaki) To be confirmed,(Kumamoto) Requiring inpatient care,(Kumamoto) Discharged from hospital or released from treatment,(Kumamoto) To be confirmed,(Oita) Requiring inpatient care,(Oita) Discharged from hospital or released from treatment,(Oita) To be confirmed,(Miyazaki) Requiring inpatient care,(Miyazaki) Discharged from hospital or released from treatment,(Miyazaki) To be confirmed,(Kagoshima) Requiring inpatient care,(Kagoshima) Discharged from hospital or released from treatment,(Kagoshima) To be confirmed,(Okinawa) Requiring inpatient care,(Okinawa) Discharged from hospital or released from treatment,(Okinawa) To be confirmed
2020/5/9,5932,7605,273,450,444,0,0,17,10,0,0,0,5,1,0,2,14,0,13,56,0,36,45,0,71,78,10,0,25,29,65,64,0,396,525,0,389,448,168,2514,2152,0,,,8,36,46,0,134,69,0,131,130,0,21,93,0,7,49,0,37,37,0,25,125,,26,46,0,115,339,3,12,32,0,31,65,0,107,227,0,672,990,11,185,463,8,22,66,0,12,48,0,2,1,0,0,11,13,8,15,1,89,74,0,4,33,0,0,3,0,15,13,0,7,38,0,7,64,0,178,451,0,22,21,0,2,14,0,27,18,0,0,51,8,5,12,0,0,7,4,52,85,0
2020/5/10,5750,7825,259,439,459,0,0,17,10,0,0,0,5,0,0,2,14,0,11,58,0,36,45,0,71,78,10,0,32,24,63,66,0,377,548,0,369,467,156,2518,2170,0,,,0,35,47,0,126,77,0,130,132,0,0,94,20,7,49,0,37,37,0,22,128,,26,46,0,107,350,3,11,33,0,30,66,0,107,227,0,641,1031,12,168,486,0,21,67,0,12,48,0,2,1,0,0,11,13,8,15,1,81,82,0,4,33,0,0,3,0,8,20,0,7,38,0,7,64,0,162,468,0,21,22,0,2,14,0,27,18,0,0,52,7,5,12,0,0,8,3,45,92,0
2020/5/11,5873,8858,100,432,472,0,0,21,6,0,0,0,5,0,0,2,14,0,11,58,0,31,50,0,52,92,15,0,32,24,61,68,0,311,616,0,336,503,0,2509,2185,0,394,727,0,31,50,1,108,99,0,127,136,0,0,95,19,7,49,0,27,48,0,21,129,,15,57,0,105,352,3,10,34,0,29,67,0,92,247,0,603,1068,12,159,500,0,21,67,0,12,48,0,2,1,0,0,12,12,6,18,0,78,85,0,4,33,0,0,3,0,7,21,0,7,38,0,6,65,0,162,468,0,20,23,0,2,14,0,22,23,0,0,54,5,5,12,0,0,8,3,41,96,0
2020/5/12,5119,9815,27,409,502,0,6,21,0,0,0,0,5,1,0,1,15,0,11,58,0,29,52,0,49,93,17,18,32,6,58,71,0,285,642,0,299,543,0,1890,2901,0,397,737,0,31,50,1,101,105,0,114,150,0,18,96,0,7,49,0,25,50,0,17,133,,15,57,0,92,369,0,10,34,0,24,72,0,88,251,0,587,1101,1,148,512,0,20,68,0,9,50,0,2,1,0,12,12,0,6,18,1,74,89,0,4,33,0,0,4,0,7,21,0,6,39,0,6,65,0,153,477,1,20,23,0,2,14,0,21,24,0,5,54,0,5,12,0,3,8,0,30,106,0
2020/5/13,4699,10266,23,394,519,0,6,21,0,0,0,0,4,1,0,1,15,0,11,58,0,24,57,0,47,94,18,18,38,1,53,76,0,255,674,0,273,571,0,1755,3039,0,371,770,0,30,51,1,84,122,0,113,152,0,16,98,0,6,51,0,25,51,0,13,137,,12,60,0,85,377,0,10,34,0,20,76,0,74,269,0,510,1176,2,138,521,0,18,70,0,11,49,0,2,1,0,10,14,0,4,21,0,71,92,0,4,33,0,0,4,0,6,22,0,9,39,0,5,66,0,137,494,1,16,27,0,1,15,0,20,25,0,4,55,0,5,12,0,3,8,0,25,111,0
2020/5/14,4316,10731,36,389,528,0,6,21,0,0,0,0,4,0,0,1,15,0,11,58,0,23,58,0,44,98,17,18,39,0,47,82,0,241,691,0,239,605,0,1583,3232,0,358,814,0,30,51,1,80,126,0,105,159,0,16,98,0,6,51,0,25,51,0,11,139,,11,61,0,75,388,4,8,36,0,19,77,0,67,277,0,462,1228,12,121,539,0,14,74,0,10,50,0,2,1,0,9,15,0,4,21,0,56,107,0,4,33,0,0,4,0,2,26,0,25,40,0,5,66,0,121,510,1,17,27,0,1,15,0,14,31,0,3,55,1,5,12,0,3,7,0,21,115,0
2020/5/15,3970,11110,35,366,560,0,5,21,1,0,0,0,3,2,0,1,15,0,11,58,0,20,61,0,38,105,16,18,40,0,40,82,0,204,730,0,216,628,3,1431,3386,0,370,817,0,22,60,1,69,137,0,99,166,0,15,99,0,6,51,0,24,52,0,10,140,,6,66,0,74,390,5,7,37,0,20,77,0,62,283,0,434,1256,9,113,548,0,12,76,0,8,52,0,2,1,0,8,16,0,2,23,0,52,111,0,4,33,0,0,4,0,2,26,0,26,41,0,5,66,0,110,522,0,15,29,0,1,15,0,14,31,0,3,56,0,4,13,0,3,7,0,15,121,0
2020/5/16,3377,10542,38,343,589,0,5,21,1,0,0,0,2,1,0,1,15,0,11,58,0,18,63,0,30,111,18,18,40,2,36,93,0,196,742,0,203,649,3,1346,3474,0,,,0,22,60,1,51,156,0,95,170,0,12,102,0,6,51,0,24,52,0,9,141,,6,66,0,65,400,4,7,37,0,20,78,0,62,283,0,424,1265,9,101,559,0,11,77,0,8,52,0,2,1,0,8,16,0,2,23,0,50,113,0,4,33,0,0,4,0,2,26,0,26,41,0,5,66,0,94,538,0,16,29,0,1,15,0,14,31,0,3,56,0,3,14,0,3,7,0,12,124,0
2020/5/17,3277,10673,22,338,601,0,5,21,1,0,0,0,2,0,0,1,15,0,11,58,0,15,66,0,29,130,0,18,40,2,35,94,0,192,750,0,202,650,3,1306,3512,0,,,0,22,60,1,51,156,0,89,177,0,12,102,0,6,51,0,24,52,0,9,141,,6,66,0,63,404,3,6,38,0,20,78,0,62,283,0,408,1281,9,96,565,0,9,79,0,8,52,0,2,1,0,8,16,0,2,23,0,50,113,0,3,34,0,0,4,0,1,27,0,25,43,0,4,67,0,89,543,0,15,30,0,1,15,0,10,35,3,3,56,0,3,14,0,3,7,0,13,123,0
2020/5/18,3374,11801,20,319,620,0,5,21,0,0,0,0,2,0,0,1,15,0,11,58,0,15,66,0,26,133,0,19,40,1,33,96,0,182,763,0,192,662,0,1192,3632,0,324,884,0,18,64,1,42,165,0,83,182,0,9,104,1,7,51,0,22,54,0,9,141,,2,70,0,54,413,5,5,39,0,19,79,0,53,291,0,396,1294,11,91,571,0,9,79,0,8,52,0,2,1,0,8,16,0,2,23,0,50,114,0,3,34,0,0,4,0,1,27,0,27,43,0,4,67,0,83,550,0,15,30,0,0,16,0,10,35,0,3,56,0,3,14,0,3,7,0,12,125,1
