date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2020-01-06,2020,1,19.23,0.0,0.0,0.0,0.0,31.42105263157895
2020-01-13,2020,2,10.74,0.0,0.0,0.0,0.0,30.05263157894737
2020-01-20,2020,3,7.6,1.2,1.6,0.0,1.6,29.105263157894736
2020-01-27,2020,4,8.88,7.4,9.733333333333333,0.0,9.733333333333333,25.526315789473685
2020-02-03,2020,5,10.75,6.0,8.0,0.0,8.0,27.94736842105263
2020-02-10,2020,6,12.92,10.6,14.0,0.0,14.0,28.473684210526315
2020-02-17,2020,7,16.38,11.4,14.933333333333334,0.0,14.933333333333334,24.842105263157894
2020-02-24,2020,8,17.57,19.8,25.0,0.0,25.0,20.57894736842105
2020-03-02,2020,9,13.81,14.4,17.2,0.0,17.2,16.526315789473685
2020-03-09,2020,10,3.85,23.4,26.6,0.0,26.6,18.105263157894736
2020-03-16,2020,11,1.0,22.6,26.466666666666665,0.0,26.466666666666665,20.94736842105263
2020-03-23,2020,12,0.46,44.6,42.8,0.0,42.8,20.36842105263158
2020-03-30,2020,13,0.24,72.2,76.8,0.0,76.8,15.631578947368421
2020-04-06,2020,14,0.14,77.2,76.13333333333334,0.0,76.13333333333334,14.736842105263158
2020-04-13,2020,15,0.03,61.2,65.06666666666666,0.0,65.06666666666666,14.157894736842104
2020-04-20,2020,16,0.09,49.6,55.73333333333333,0.0,55.73333333333333,15.210526315789474
2020-04-27,2020,17,0.04,34.2,37.4,0.0,37.4,15.105263157894736
2020-05-04,2020,18,0.01,27.4,29.933333333333334,0.0,29.933333333333334,12.526315789473685
2020-05-11,2020,19,0.02,22.2,23.73333333333333,5.0,23.73333333333333,12.473684210526315
2020-05-18,2020,20,0.01,14.4,15.133333333333333,19.0,15.133333333333333,11.894736842105264
2020-05-25,2020,21,0.01,16.6,17.2,6.0,17.2,14.789473684210526
2020-06-01,2020,22,0.0,9.4,10.266666666666667,5.0,10.266666666666667,15.947368421052632
2020-06-08,2020,23,0.0,6.2,6.933333333333334,4.0,6.933333333333334,16.789473684210527
2020-06-15,2020,24,0.0,6.4,7.333333333333333,1.0,7.333333333333333,19.0
2020-06-22,2020,25,0.0,6.0,7.0,4.0,7.0,21.526315789473685
2020-06-29,2020,26,0.0,9.0,10.666666666666666,4.0,10.666666666666666,20.842105263157894
2020-07-06,2020,27,0.0,11.0,13.466666666666669,2.0,13.466666666666669,21.263157894736842
2020-07-13,2020,28,0.0,16.6,20.6,0.0,20.6,20.57894736842105
2020-07-20,2020,29,0.0,19.0,23.133333333333333,1.0,23.133333333333333,24.736842105263158
2020-07-27,2020,30,0.0,21.8,27.066666666666663,1.0,27.066666666666663,17.736842105263158
2020-08-03,2020,31,0.0,21.8,27.133333333333333,0.0,27.133333333333333,19.36842105263158
2020-08-10,2020,32,0.0,15.2,19.33333333333333,0.0,19.33333333333333,21.263157894736842
2020-08-17,2020,33,0.0,15.8,20.266666666666666,0.0,20.266666666666666,18.105263157894736
2020-08-24,2020,34,0.0,9.0,11.466666666666669,0.0,11.466666666666669,19.68421052631579
2020-08-31,2020,35,0.0,6.0,7.533333333333333,0.0,7.533333333333333,20.31578947368421
2020-09-07,2020,36,0.0,5.0,6.4,2.0,6.4,20.63157894736842
2020-09-14,2020,37,0.0,4.6,5.866666666666666,1.0,5.866666666666666,23.473684210526315
2020-09-21,2020,38,0.0,4.0,5.066666666666666,0.0,5.066666666666666,23.526315789473685
2020-09-28,2020,39,0.0,5.0,6.4,1.0,6.4,21.157894736842106
2020-10-05,2020,40,0.0,4.2,5.333333333333333,0.0,5.333333333333333,21.894736842105264
2020-10-12,2020,41,0.01,4.0,5.066666666666666,0.0,5.066666666666666,22.42105263157895
2020-10-19,2020,42,0.0,4.2,5.266666666666667,1.0,5.266666666666667,22.94736842105263
2020-10-26,2020,43,0.0,4.8,6.066666666666666,1.0,6.066666666666666,22.526315789473685
2020-11-02,2020,44,0.0,4.4,5.533333333333333,1.0,5.533333333333333,19.526315789473685
2020-11-09,2020,45,0.0,8.6,10.733333333333333,4.0,10.733333333333333,15.157894736842104
2020-11-16,2020,46,0.01,13.4,16.533333333333335,13.0,16.533333333333335,13.105263157894736
2020-11-23,2020,47,0.01,21.2,25.466666666666665,22.0,25.466666666666665,13.052631578947368
2020-11-30,2020,48,0.0,28.6,33.333333333333336,40.0,33.333333333333336,12.31578947368421
2020-12-07,2020,49,0.01,24.8,29.53333333333333,67.0,29.53333333333333,13.105263157894736
2020-12-14,2020,50,0.02,20.4,24.133333333333333,59.0,24.133333333333333,12.31578947368421
2020-12-21,2020,51,0.0,18.2,20.933333333333334,71.0,20.933333333333334,12.526315789473685
2020-12-28,2020,52,0.0,18.0,20.73333333333333,48.0,20.73333333333333,14.0
2021-01-04,2020,53,0.01,38.2,39.2,38.0,39.2,12.0
2021-01-04,2021,1,0.02,29.6,31.866666666666667,34.0,31.866666666666667,12.473684210526315
2021-01-11,2021,2,0.01,21.4,24.73333333333333,32.0,24.73333333333333,11.578947368421053
2021-01-18,2021,3,0.02,14.6,17.0,31.0,17.0,11.526315789473685
2021-01-25,2021,4,0.0,12.4,13.666666666666666,33.0,13.666666666666666,12.473684210526315
2021-02-01,2021,5,0.03,9.0,10.4,18.0,10.4,12.473684210526315
2021-02-08,2021,6,0.02,7.4,8.666666666666666,19.0,8.666666666666666,13.421052631578947
2021-02-15,2021,7,0.0,6.6,7.333333333333333,17.0,7.333333333333333,15.631578947368421
2021-02-22,2021,8,0.01,7.8,8.533333333333333,21.0,8.533333333333333,15.31578947368421
2021-03-01,2021,9,0.01,5.8,6.733333333333333,16.0,6.733333333333333,17.526315789473685
2021-03-08,2021,10,0.03,5.2,5.733333333333333,14.0,5.733333333333333,18.57894736842105
2021-03-15,2021,11,0.01,5.2,5.933333333333334,24.0,5.933333333333334,17.842105263157894
2021-03-22,2021,12,0.01,5.4,6.6,12.0,6.6,16.210526315789473
2021-03-29,2021,13,0.01,8.6,10.333333333333334,11.0,10.333333333333334,15.68421052631579
2021-04-05,2021,14,0.01,13.4,16.2,23.0,16.2,16.894736842105264
2021-04-12,2021,15,0.01,26.8,27.266666666666666,24.0,27.266666666666666,16.57894736842105
2021-04-19,2021,16,0.0,22.0,24.8,36.0,24.8,15.947368421052632
2021-04-26,2021,17,0.01,22.6,25.466666666666665,30.0,25.466666666666665,14.421052631578947
